0 1,27864132584855E-06
1 2,09683101469461E-06
2 2,2174931112237E-06
3 1,77920138462567E-06
4 1,63097194432089E-06
5 2,41979259484573E-06
6 1,84795457063214E-06
7 1,15088214004322E-06
8 6,71517379980912E-06
9 3,02321708067689E-05
10 8,70329005914258E-05
11 0,000252257423728027
12 0,000689158920110593
13 0,00147467939421536
14 0,00299394034084411
15 0,00576220341384805
16 0,0104226049982348
17 0,0172400897937162
18 0,0262957743444183
19 0,0378134735900675
20 0,0507912633175619
21 0,0638049812862265
22 0,0757298068652815
23 0,0848525552292342
24 0,0903821314957292
25 0,091439887053773
26 0,0877455506810079
27 0,0797471786312046
28 0,0685978960829524
29 0,0564467854648182
30 0,0445458647985593
31 0,033319495786057
32 0,0238789224079738
33 0,0166228913719291
34 0,0112224427134625
35 0,00729845109680568
36 0,00449768265930102
37 0,00270060732309139
38 0,00156676335791711
39 0,000852974888034683
40 0,000421028537682499
41 0,000221142360207945
42 0,000116714205975732
43 6,79258893656963E-05
44 2,70697475712801E-05
45 1,14795917759198E-05
46 5,75141040809822E-06
47 2,0054608688773E-06
48 1,66052755726946E-07
